Mods count: 132
 
jar name                                                                     | mod id (isMCreator)                                      | mixin configs
    /META-INF/jarjar/app.jar                                                 |                                                          | 
cratedelight-25.09.22-1.21.7-fabric.jar                                      | cratedelight                                             | 
CreativeCore_FABRIC_v2.14.7_mc1.21.9.jar                                     | creativecore                                             | creativecore.fabric.mixins.json, creativecore.mixins.json, creativecore.mixins.refmap.json
    /META-INF/jars/bus-7.2.0.jar                                             | net_neoforged_bus                                        | 
CutThrough-v21.10.0+mc1.21.10-Fabric.jar                                     | cutthrough                                               | cutthrough.fabric.mixins.json, cutthrough.common.mixins.json
desert-mansion-2.12.jar                                                      | mr_desert_mansion                                        | 
DiagonalFences-v21.10.0+mc1.21.10-Fabric.jar                                 | diagonalfences                                           | diagonalfences.fabric.mixins.json, diagonalfences.common.mixins.json
    /META-INF/jars/diagonalblocks-fabric-21.10.0.jar                         | diagonalblocks                                           | diagonalblocks.common.mixins.json, diagonalblocks.fabric.mixins.json
DiagonalWindows-v21.10.0+mc1.21.10-Fabric.jar                                | diagonalwindows                                          | diagonalwindows.common.mixins.json, diagonalwindows.fabric.mixins.json
    /META-INF/jars/diagonalblocks-fabric-21.10.0.jar                         | diagonalblocks                                           | diagonalblocks.common.mixins.json, diagonalblocks.fabric.mixins.json
disenchanting_table-merged-1.21.9-5.1.1.jar                                  | disenchanting_table                                      | neoforge-disenchanting_table.mixins.json, common-disenchanting_table.mixins.json, fabric-disenchanting_table.fabric.mixins.json, neoforge-disenchanting_table.neoforge.mixins.json, fabric-disenchanting_table.mixins.json
doubledoors-1.21.10-7.2.jar                                                  | doubledoors                                              | doubledoors_forge.mixins.json, doubledoors_fabric.mixins.json, doubledoors_neoforge.mixins.json
Easy Diamond-fabric-1.21.10-1.7.2.jar                                        | diamond                                                  | diamond.mixins.json
easy_mob_farm-fabric-1.21.10-10.2.2.jar                                      | easy_mob_farm                                            | easymobfarm.mixins.json
entity_model_features_1.21.9-fabric-3.0.6.jar                                | entity_model_features                                    | entity_model_features.mixins.json
entity_texture_features_1.21.9-fabric-7.0.6.jar                              | entity_texture_features                                  | entity_texture_features.mixins.json
    /META-INF/jars/httpmime-4.5.10.jar                                       | org_apache_httpcomponents_httpmime                       | 
Essential_1-3-10-1_fabric_1-21-10.jar                                        | essential-container                                      | 
ExtremeSoundMuffler-3.51_Fabric-1.21.9.jar                                   | extremesoundmuffler                                      | extremesoundmuffler.mixins.json
    /META-INF/jars/fiber-0.23.0-2.jar                                        | fiber                                                    | 
fabric-api-0.138.3+1.21.10.jar                                               | fabric-api                                               | 
    /META-INF/jars/fabric-api-base-1.0.0+14b92d896f.jar                      | fabric-api-base                                          | 
    /META-INF/jars/fabric-api-lookup-api-v1-1.6.106+d17682156f.jar           | fabric-api-lookup-api-v1                                 | fabric-api-lookup-api-v1.mixins.json
    /META-INF/jars/fabric-biome-api-v1-16.1.0+c2417d4f6f.jar                 | fabric-biome-api-v1                                      | fabric-biome-api-v1.mixins.json
    /META-INF/jars/fabric-block-api-v1-1.1.5+d17682156f.jar                  | fabric-block-api-v1                                      | fabric-block-api-v1.mixins.json
    /META-INF/jars/fabric-block-view-api-v2-1.0.34+e4fd1b926f.jar            | fabric-block-view-api-v2                                 | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json
    /META-INF/jars/fabric-command-api-v2-2.4.0+c0ab2d5d6f.jar                | fabric-command-api-v2                                    | fabric-command-api-v2.mixins.json, fabric-command-api-v2.client.mixins.json
    /META-INF/jars/fabric-content-registries-v0-10.2.6+b6a242646f.jar        | fabric-content-registries-v0                             | fabric-content-registries-v0.mixins.json
    /META-INF/jars/fabric-convention-tags-v1-2.1.49+7f945d5b6f.jar           | fabric-convention-tags-v1                                | 
    /META-INF/jars/fabric-convention-tags-v2-2.17.0+ff7bc77d6f.jar           | fabric-convention-tags-v2                                | fabric-convention-tags-api-v2.mixins.json
    /META-INF/jars/fabric-crash-report-info-v1-0.3.18+33df5e6e6f.jar         | fabric-crash-report-info-v1                              | fabric-crash-report-info-v1.mixins.json
    /META-INF/jars/fabric-data-attachment-api-v1-1.8.33+cd3b9e596f.jar       | fabric-data-attachment-api-v1                            | fabric-data-attachment-api-v1.mixins.json, fabric-data-attachment-api-v1.client.mixins.json
    /META-INF/jars/fabric-data-generation-api-v1-23.2.27+d8b85ef16f.jar      | fabric-data-generation-api-v1                            | fabric-data-generation-api-v1.mixins.json, fabric-data-generation-api-v1.client.mixins.json
    /META-INF/jars/fabric-dimensions-v1-4.0.22+38b9cc196f.jar                | fabric-dimensions-v1                                     | fabric-dimensions-v1.mixins.json
    /META-INF/jars/fabric-entity-events-v1-2.1.13+fde3702c6f.jar             | fabric-entity-events-v1                                  | fabric-entity-events-v1.mixins.json
    /META-INF/jars/fabric-events-interaction-v0-4.0.36+5ba217126f.jar        | fabric-events-interaction-v0                             | fabric-events-interaction-v0.client.mixins.json, fabric-events-interaction-v0.mixins.json
    /META-INF/jars/fabric-game-rule-api-v1-1.1.1+e47eaae56f.jar              | fabric-game-rule-api-v1                                  | fabric-game-rule-api-v1.mixins.json, fabric-game-rule-api-v1.client.mixins.json
    /META-INF/jars/fabric-item-api-v1-11.5.11+9bce411b6f.jar                 | fabric-item-api-v1                                       | fabric-item-api-v1.client.mixins.json, fabric-item-api-v1.mixins.json
    /META-INF/jars/fabric-item-group-api-v1-4.2.27+86b3ae576f.jar            | fabric-item-group-api-v1                                 | fabric-item-group-api-v1.client.mixins.json, fabric-item-group-api-v1.mixins.json
    /META-INF/jars/fabric-key-binding-api-v1-1.1.1+b3ba9c486f.jar            | fabric-key-binding-api-v1                                | fabric-key-binding-api-v1.mixins.json
    /META-INF/jars/fabric-lifecycle-events-v1-2.6.9+33df5e6e6f.jar           | fabric-lifecycle-events-v1                               | fabric-lifecycle-events-v1.client.mixins.json, fabric-lifecycle-events-v1.mixins.json
    /META-INF/jars/fabric-loot-api-v2-3.0.67+3f89f5a56f.jar                  | fabric-loot-api-v2                                       | fabric-loot-api-v2.mixins.json
    /META-INF/jars/fabric-loot-api-v3-2.0.14+d17682156f.jar                  | fabric-loot-api-v3                                       | fabric-loot-api-v3.mixins.json
    /META-INF/jars/fabric-message-api-v1-6.1.7+3154c1c86f.jar                | fabric-message-api-v1                                    | fabric-message-api-v1.client.mixins.json, fabric-message-api-v1.mixins.json
    /META-INF/jars/fabric-model-loading-api-v1-6.0.4+3ffd6ef06f.jar          | fabric-model-loading-api-v1                              | fabric-model-loading-api-v1.mixins.json
    /META-INF/jars/fabric-networking-api-v1-5.1.0+b095d8db6f.jar             | fabric-networking-api-v1                                 | fabric-networking-api-v1.mixins.json, fabric-networking-api-v1.client.mixins.json
    /META-INF/jars/fabric-object-builder-api-v1-21.1.28+9bce411b6f.jar       | fabric-object-builder-api-v1                             | fabric-object-builder-v1.mixins.json, fabric-object-builder-v1.client.mixins.json
    /META-INF/jars/fabric-particles-v1-4.2.3+a0ee59a46f.jar                  | fabric-particles-v1                                      | fabric-particles-v1.client.mixins.json, fabric-particles-v1.mixins.json
    /META-INF/jars/fabric-recipe-api-v1-8.2.0+39709ef06f.jar                 | fabric-recipe-api-v1                                     | fabric-recipe-api-v1.mixins.json, fabric-recipe-api-v1.client.mixins.json
    /META-INF/jars/fabric-registry-sync-v0-6.1.42+679c8c5c6f.jar             | fabric-registry-sync-v0                                  | fabric-registry-sync-v0.mixins.json, fabric-registry-sync-v0.client.mixins.json
    /META-INF/jars/fabric-renderer-api-v1-7.2.2+3706cdf36f.jar               | fabric-renderer-api-v1                                   | fabric-renderer-api-v1.mixins.json
    /META-INF/jars/fabric-renderer-indigo-4.1.3+d7df91576f.jar               | fabric-renderer-indigo                                   | fabric-renderer-indigo.mixins.json
    /META-INF/jars/fabric-rendering-fluids-v1-3.1.38+86b3ae576f.jar          | fabric-rendering-fluids-v1                               | fabric-rendering-fluids-v1.mixins.json
    /META-INF/jars/fabric-rendering-v1-16.2.0+bee81f016f.jar                 | fabric-rendering-v1                                      | fabric-rendering-v1.mixins.json
    /META-INF/jars/fabric-resource-conditions-api-v1-5.0.28+33df5e6e6f.jar   | fabric-resource-conditions-api-v1                        | fabric-resource-conditions-api-v1.mixins.json
    /META-INF/jars/fabric-resource-loader-v0-3.3.1+d4d4122a6f.jar            | fabric-resource-loader-v0                                | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json
    /META-INF/jars/fabric-resource-loader-v1-1.0.4+14959b836f.jar            | fabric-resource-loader-v1                                | fabric-resource-loader-v1.client.mixins.json, fabric-resource-loader-v1.mixins.json
    /META-INF/jars/fabric-screen-api-v1-3.1.0+9c82a7986f.jar                 | fabric-screen-api-v1                                     | fabric-screen-api-v1.mixins.json
    /META-INF/jars/fabric-screen-handler-api-v1-1.3.151+d17682156f.jar       | fabric-screen-handler-api-v1                             | fabric-screen-handler-api-v1.mixins.json
    /META-INF/jars/fabric-serialization-api-v1-1.0.0+d857c9766f.jar          | fabric-serialization-api-v1                              | fabric-serialization-api-v1.mixins.json
    /META-INF/jars/fabric-sound-api-v1-1.0.45+328a75ba6f.jar                 | fabric-sound-api-v1                                      | fabric-sound-api-v1.mixins.json
    /META-INF/jars/fabric-tag-api-v1-1.2.13+2fa446b26f.jar                   | fabric-tag-api-v1                                        | fabric-tag-api-v1.mixins.json
    /META-INF/jars/fabric-transfer-api-v1-6.0.15+79ec2c126f.jar              | fabric-transfer-api-v1                                   | fabric-transfer-api-v1.mixins.json
    /META-INF/jars/fabric-transitive-access-wideners-v1-6.5.3+41eb43436f.jar | fabric-transitive-access-wideners-v1                     | 
fabric-language-kotlin-1.13.7+kotlin.2.2.21.jar                              | fabric-language-kotlin                                   | 
    /META-INF/jars/atomicfu-jvm-0.29.0.jar                                   | org_jetbrains_kotlinx_atomicfu-jvm                       | 
    /META-INF/jars/kotlin-reflect-2.2.21.jar                                 | org_jetbrains_kotlin_kotlin-reflect                      | 
    /META-INF/jars/kotlin-stdlib-2.2.21.jar                                  | org_jetbrains_kotlin_kotlin-stdlib                       | 
    /META-INF/jars/kotlin-stdlib-jdk7-2.2.21.jar                             | org_jetbrains_kotlin_kotlin-stdlib-jdk7                  | 
    /META-INF/jars/kotlin-stdlib-jdk8-2.2.21.jar                             | org_jetbrains_kotlin_kotlin-stdlib-jdk8                  | 
    /META-INF/jars/kotlinx-coroutines-core-jvm-1.10.2.jar                    | org_jetbrains_kotlinx_kotlinx-coroutines-core-jvm        | 
    /META-INF/jars/kotlinx-coroutines-jdk8-1.10.2.jar                        | org_jetbrains_kotlinx_kotlinx-coroutines-jdk8            | 
    /META-INF/jars/kotlinx-datetime-jvm-0.7.1.jar                            | org_jetbrains_kotlinx_kotlinx-datetime-jvm               | 
    /META-INF/jars/kotlinx-io-bytestring-jvm-0.8.0.jar                       | org_jetbrains_kotlinx_kotlinx-io-bytestring-jvm          | 
    /META-INF/jars/kotlinx-io-core-jvm-0.8.0.jar                             | org_jetbrains_kotlinx_kotlinx-io-core-jvm                | 
    /META-INF/jars/kotlinx-serialization-cbor-jvm-1.9.0.jar                  | org_jetbrains_kotlinx_kotlinx-serialization-cbor-jvm     | 
    /META-INF/jars/kotlinx-serialization-core-jvm-1.9.0.jar                  | org_jetbrains_kotlinx_kotlinx-serialization-core-jvm     | 
    /META-INF/jars/kotlinx-serialization-json-jvm-1.9.0.jar                  | org_jetbrains_kotlinx_kotlinx-serialization-json-jvm     | 
